CODGEO;P21_LOG;P21_RP;P21_RSECOCC;P21_LOGVAC;P21_MAISON;P21_APPART;P21_RP_1P;P10_RP_HABFOR;P10_RP_CASE;P10_RP_MIBOIS;P10_RP_MIDUR
68299;141.966513094958;131.759616543234;5.10344827586205;5.10344827586205;127.897353298414;14.0691597965437;0.948250121965128;;;;
68300;2593.30972539328;2389.66204733798;15.3503274916056;188.297350563695;1754.04692109468;826.840634203529;61.0731597965628;;;;
68301;559.164046413282;513.640673984249;5.6904215536291;39.8329508754037;497.322937783878;61.8411086294036;1.97678125231018;;;;
68302;337.048679899436;310.741895238669;4.047197640118;22.259587020649;302.493143734489;34.5555361649473;0;;;;
68303;99.3448925421697;95.3056768558952;2.01960784313726;2.01960784313726;90.4748266118675;8.87006593030226;0.982532751091703;;;;
68304;682.092264601394;644.147177896192;1.9971098265896;35.9479768786127;551.238649371835;129.850588818729;4.0287704858991;;;;
68305;564.881687901453;502.490974910008;11.5868466984112;50.8038662930336;451.326081736295;112.66431026528;4.82791203019218;;;;
68306;240.225309144856;213.274954534927;13.4751773049645;13.4751773049645;169.525835711947;70.6994734329092;2.85289096338304;;;;
68307;248.908876339428;209.908876339428;20;19;216.69760894879;30.222706243304;0;;;;
68308;165.549956071919;147.060244137763;7.1904435299497;11.2992684042067;146.699606334577;17.8421620782194;0;;;;
68309;2090.24712272874;1858.11647558302;19.9682277114599;212.162419434261;1002.13750245646;1087.14396529131;18.3449944789705;;;;
68311;442.981976143797;268.969606649911;144.043572525494;29.9687969683914;347.420349827553;95.5616263162433;2.95097751178379;;;;
68312;168.016353012964;135.828117718846;5.0294117647059;27.1588235294119;155.746940015242;12.269412997722;0;;;;
68313;357.069773586943;326.468054389235;4.08022922636102;26.5214899713466;293.926786066204;62.1387390383357;1.05882566743685;;;;
68315;3473.31385942844;3101.23098612159;55.1991075784879;316.883765728356;2106.0584276991;1351.48679761748;53.2734641852846;;;;
68316;399.343460468714;321.728555564373;46.3673457870083;31.2475591173317;280.655591588796;92.4057821910917;4.18085603468606;;;;
68317;852.068662670212;524.859203838386;270.937768459474;56.2716903723523;655.760617333565;190.250232171417;0.984442830508622;;;;
68318;1182.0093332419;1029.24503514831;43.3520305400722;109.412267553516;951.836278979706;213.175197225033;19.1895312643344;;;;
68320;647.646118885422;590.392839341386;4.16387487592988;53.089404668106;595.680163426138;49.8101458441616;0;;;;
68321;1802.75725507462;1695.48949241877;16.502732716284;90.765029939562;1357.60544476953;444.176676232477;1.97218220292531;;;;
68322;680.994582518672;623.658794595256;9.05301914580261;48.2827687776139;530.368560337443;149.620131165029;2.04975225180488;;;;
68323;378.131014939465;346.185333248036;1.06485605638097;30.8808256350482;349.567589475916;28.563425463549;0;;;;
